Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,References,Notes/References,,
Coscinodiscophyceae,Coscinodiscophycidae,Bacillariophyta_X,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148971,ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Tree&id=33840&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Rhizosoleniaceae,Bacillariophyta_X,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33845&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,"NCBI places this as a sub-group within Bacillariophyta, indicated with a ""_X"" in pr2",,
Biddulphiophycidae,Biddulphianae,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148972,,,
Oomycetes,Peronosporomycetes,Peronosporomycetes,Oomycota,NA,NA,NA,Adl et al. 2019,https://species.wikimedia.org/wiki/Oomycota,,
Viridiplantae,Chloroplastida,Chlorobionta,Chlorobiota,NA,NA,NA,Adl et al. 2019,,,
prasinophytes,Chlorophyta,Prasinophyceae,Prasinomonadina,Prasinophyta,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=17329,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=34155&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,prasinophytes are within Chlorophyta but there's not intermediate classification in PR2. Other synonyms are from NCBI and WORMS,
Streptophytina,Charophyta,Embryophyta,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=131221&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
eudicotyledons,Dicotyledoneae,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=71240&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Blastodiniales,Blastodiniphyceae,Blastodinida,NA,NA,NA,NA,Adl et al 2005,http://www.marinespecies.org/aphia.php?p=taxdetails&id=109386,,
Perkinsidae,Perkinsozoa,NA,NA,NA,NA,NA,Adl et al. 2019,,,
Dikarya,Dikaryomycota,Neomycota,NA,NA,NA,NA,Hibbett et al. 2018,https://imafungus.biomedcentral.com/articles/10.5598/imafungus.2018.09.02.05,,
Phyllopharyngia,Cyrtophoria,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=238896&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Rhabditophora,Platyhelminthes,NA,NA,NA,NA,NA,https://academic.oup.com/biolinnean/article/87/4/553/2691569,,,
Mandibulata,Mandibulates,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=197563&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Pteriomorphia,Pteriomorpha,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6545&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Palaeonemertea,Paleonemertea,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1684132&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Granofilosea,Filosa-Granofilosea,NA,NA,NA,NA,NA,common sense,just looked at pr2 and they include a hyphen,,
Biddulphiaceae,Polar-centric-Mediophyceae,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=210445&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,"NCBI shows within Mediophyceae, so inserting pr2's mediophyceae rep",,
